Opening,,Title,Production company,Cast and crew,Ref.
,19,12 Strong,Warner Bros. Pictures / Alcon Entertainment / Jerry Bruckheimer Films,"Nicolai Fuglsig (director); Peter Craig, Ted Tally (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Rob Riggle, William Fichtner",[13]
,,Den of Thieves,STX Entertainment,"Christian Gudegast (director/screenplay); Paul Scheuring (screenplay); Gerard Butler, 50 Cent, Pablo Schreiber, O'Shea Jackson Jr., Evan Jones, Dawn Olivieri, Mo McRae, Max Holloway",[14]
,,Forever My Girl,Roadside Attractions,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey",[15]
,26,Maze Runner: The Death Cure,20th Century Fox,"Wes Ball (director); T.S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Barry Pepper, Will Poulter, Patricia Clarkson",[16]
,,The Insult,Cohen Media Group,"Ziad Doueiri (director/screenplay); Joelle Touma (screenplay); Adel Karam, Camille Salameh, Kamel El Basha",[17]
,,Please Stand By,Magnolia Pictures,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve",[18]
F,2,Winchester,Lionsgate / CBS Films,"The Spierig Brothers (director/screenplay); Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson",[19]
E,,A Fantastic Woman,Sony Pictures Classics,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes",[20]
B,,Armed,GVN Releasing,"Mario Van Peebles (director/screenplay); Mario Van Peebles, William Fichtner, Ryan Guzman, Columbus Short, Laz Alonso",[21]
R,4,The Cloverfield Paradox,Paramount Pictures / Netflix / Bad Robot Productions,"Julius Onah (director); Oren Uziel, Doug Jung (screenplay); Daniel Brühl, Elizabeth Debicki, Aksel Hennie, Gugu Mbatha-Raw, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi",[22]
U,6,Bad Apples,Uncork'd Entertainment,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle",[23]
A,9,Peter Rabbit,Columbia Pictures / Sony Pictures Animation / Animal Logic,"Will Gluck (director/screenplay); Rob Lieber (screenplay); James Corden, Domhnall Gleeson, Rose Byrne, Daisy Ridley, Margot Robbie, Elizabeth Debicki, Sam Neill",[24]
R,,Fifty Shades Freed,Universal Pictures,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Kim Basinger, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Marcia Gay Harden",[25]
Y,,The 15:17 to Paris,Warner Bros. Pictures / Village Roadshow Pictures,"Clint Eastwood (director); Dorothy Blyskal (screenplay); Anthony Sadler, Alek Skarlatos, Spencer Stone, Judy Greer, Jenna Fischer, Ray Corasani",[26]
,,La Boda de Valentina,Lionsgate / Pantelion Films,"Marco Polo Constandse (director); Omar Chaparro, Marimar Vega, Ryan Carnes",[27]
,,Kri,Subas Entertainment Production / Super Kajal Films,"Surendra Poudel (director/screenplay); Anmol K.C., Aditi Budhathoki, Anoop Bikram Shahi",[28]
,,Permission,Good Dead Entertainment,"Brian Crano (director/screenplay); Rebecca Hall, Dan Stevens, Morgan Spector, David Joseph Craig, Gina Gershon, Jason Sudeikis",[29]
,,Monster Family,Viva Pictures,"Holger Tappe (director); David Safier, Catharine Junk (screenplay); Emily Watson, Jason Isaacs, Nick Frost, Jessica Brown Findlay, Celia Imrie, Catherine Tate",[30]
,,Golden Exits,Vertical Entertainment,"Alex Ross Perry (director/screenplay); Emily Browning, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman, Chloë Sevigny, Analeigh Tipton",[31]
,16,Black Panther,Marvel Studios,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",[32]
,,Early Man,Summit Entertainment / StudioCanal / Aardman Animations,"Nick Park (director); Mark Burton, John O'Farrell (screenplay); Eddie Redmayne, Tom Hiddleston, Maisie Williams, Timothy Spall",[33]
,,Loveless,Sony Pictures Classics,"Andrey Zvyagintsev (director); Oleg Negin, Andrey Zvyagintsev (screenplay); Maryana Spivak, Alexei Rozin, Matvey Novikov, Marina Vasilyeva, Andris Keišs",[34]
,,The Party,Roadside Attractions,"Sally Potter (director/screenplay); Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Emily Mortimer, Cillian Murphy, Bruno Ganz",[35]
,,Nostalgia,Bleecker Street,"Mark Pellington (director/screenplay); Alex Ross Perry (screenplay); Jon Hamm, Nick Offerman, Amber Tamblyn, Patton Oswalt, Catherine Keener, Ellen Burstyn, Bruce Dern, John Ortiz, James LeGros",[36]
,,Black '47,Fastnet Films / Samsa Films / UMedia / Altitude Film,"Lance Daly (director); PJ Dillon, Pierce Ryan, Eugene O'Brien, & Lance Daly (screenplay); Hugo Weaving, Jim Broadbent, Stephen Rea, Freddie Fox, Moe Dunford, James Frecheville, Sarah Greene, Barry Keoghan",[37]
,,Samson,Pure Flix,"Bruce Macdonald (director); Timothy Ratajczak, Jason Baumgardner (screenplay); Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Rutger Hauer, Lindsay Wagner",[38]
,23,Game Night,Warner Bros. Pictures / New Line Cinema,"Jonathan Goldstein, John Francis Daley (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Kyle Chandler, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall",[39]
,,Annihilation,Paramount Pictures / Netflix / Skydance Media / DNA Films,"Alex Garland (director/screenplay); Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac",[40]
,,Every Day,Orion Pictures,"Michael Sucsy (director); Jesse Andrews (screenplay); Angourie Rice, Maria Bello, Debby Ryan, Jacob Batalon, Justice Smith, Lucas Jade Zumann",[41]
,,The Cured,IFC Films,"David Freyne (director); Elliot Page, Sam Keeley, Tom Vaughan-Lawlor",[42]
,,The Lodgers,Epic Pictures Group,"Brian O'Malley (director); David Turpin (screenplay); Charlotte Vega, Bill Milner, Eugene Simon, David Bradley, Deirdre O'Kane, Moe Dunford",[43]
M,2,Red Sparrow,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Francis Lawrence (director); Justin Haythe (screenplay); Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling, Mary-Louise Parker, Jeremy Irons",[44]
A,,Death Wish,Metro-Goldwyn-Mayer,"Eli Roth (director); Joe Carnahan (screenplay); Bruce Willis, Vincent D'Onofrio, Dean Norris, Kimberly Elise, Mike Epps, Elisabeth Shue, Camila Morrone",[45]
R,,The Vanishing of Sidney Hall,A24,"Shawn Christensen (director/screenplay); Jason Dolan (screenplay); Logan Lerman, Elle Fanning, Michelle Monaghan, Nathan Lane, Kyle Chandler",[46]
C,,Foxtrot,Sony Pictures Classics,"Samuel Maoz (director/screenplay); Lior Ashkenazi, Sarah Adler, Yonatan Shiray",[47]
H,,Pickings,Digital Magic Entertainment,"Usher Morgan (director/screenplay); Elyse Price, Joel Bernard, Katie Vincent, Joe Trombino",[48]
,9,A Wrinkle in Time,Walt Disney Pictures,"Ava DuVernay (director); Jennifer Lee (screenplay); Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Levi Miller, Deric McCabe, Chris Pine, Gugu Mbatha-Raw, Michael Peña, Zach Galifianakis",[49]
,,Gringo,Amazon Studios / STX Entertainment,"Nash Edgerton (director); Anthony Tambakis, Matthew Stone (screenplay); David Oyelowo, Charlize Theron, Joel Edgerton, Amanda Seyfried, Thandie Newton, Sharlto Copley",[50]
,,Thoroughbreds,Focus Features,"Cory Finley (director/screenplay); Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift",[51]
,,The Death of Stalin,IFC Films,"Armando Iannucci (director/screenplay); Steve Buscemi, Simon Russell Beale, Paddy Considine, Rupert Friend, Jason Isaacs, Michael Palin, Andrea Riseborough, Jeffrey Tambor",[52]
,,The Leisure Seeker,Sony Pictures Classics,"Paolo Virzì (director/screenplay); Francesca Archibugi, Francesco Piccolo, Stephen Amidon (screenplay); Donald Sutherland, Helen Mirren",[53]
,,The Strangers: Prey at Night,Aviron Pictures / Rogue,"Johannes Roberts (director); Bryan Bertino, Ben Ketai (screenplay); Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",[54]
,,The Hurricane Heist,Entertainment Studios,"Rob Cohen (director/screenplay); Toby Kebbell, Maggie Grace, Ryan Kwanten, Melissa Bolona, Ralph Ineson",[55]
,16,Tomb Raider,Warner Bros. Pictures / GK Films / Metro-Goldwyn-Mayer,"Roar Uthaug (director); Geneva Robertson-Dworet (screenplay); Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas, Derek Jacobi, Nick Frost, Hannah John-Kamen",[56]
,,"Love, Simon",20th Century Fox / Fox 2000 Pictures / TSG Entertainment,"Greg Berlanti (director); Isaac Aptaker, Elizabeth Berger (screenplay); Nick Robinson, Katherine Langford, Alexandra Shipp, Jorge Lendeborg Jr., Miles Heizer, Keiynan Lonsdale, Logan Miller, Jennifer Garner, Josh Duhamel, Tony Hale",[57]
,,I Can Only Imagine,Roadside Attractions / Lionsgate,"Jon Erwin (director/screenplay); Andrew Erwin (co-director), Alex Cramer, Brent McCorkle (screenplay); Cloris Leachman, Dennis Quaid, Priscilla Shirer, Madeline Carroll, J. Michael Finley, Trace Adkins",[58]
,,7 Days in Entebbe,Focus Features / StudioCanal / Participant Media / Working Title Films,"José Padilha (director); Gregory Burke (screenplay); Rosamund Pike, Daniel Brühl, Vincent Cassel, Eddie Marsan, Ben Schnetzer",[59]
,,Furlough,IFC Films,"Laurie Collyer (director); Barry Strugatz (screenplay); Melissa Leo, Tessa Thompson, La La Anthony, Whoopi Goldberg, Anna Paquin",[60]
,,Josie,Screen Media Films,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer",[61]
,,Flower,The Orchard,"Max Winkler (director), Alex McAulay (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Joey Morgan, Adam Scott",[62]
,23,Pacific Rim: Uprising,Universal Pictures / Legendary Pictures,"Steven S. DeKnight (director/screenplay); Emily Carmichael, Kira Snyder, T.S. Nowlin (screenplay); John Boyega, Scott Eastwood, Cailee Spaeny, Charlie Day, Burn Gorman, Rinko Kikuchi, Jing Tian, Adria Arjona, Zhang Jin",[63]
,,Isle of Dogs,Fox Searchlight Pictures / Indian Paintbrush,"Wes Anderson (director/screenplay); Bryan Cranston, Edward Norton, Bill Murray, Jeff Goldblum, Bob Balaban, Greta Gerwig, Frances McDormand, Courtney B. Vance, Fisher Stevens, Harvey Keitel, Liev Schreiber, Scarlett Johansson, Tilda Swinton, F. Murray Abraham, Frank Wood",[64]
,,Sherlock Gnomes,Paramount Pictures / Paramount Animation / Metro-Goldwyn-Mayer,"John Stevenson (director); Ben Zazove (screenplay); James McAvoy, Emily Blunt, Johnny Depp, Chiwetel Ejiofor, Mary J. Blige, Michael Caine, Maggie Smith, Ashley Jensen, Matt Lucas, Stephen Merchant, Julie Walters, Richard Wilson",[65]
,,Unsane,Bleecker Street / Regency Enterprises,"Steven Soderbergh (director); Jonathan Bernstein, James Greer (screenplay); Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple, Aimee Mullins, Amy Irving",[66]
,,"Paul, Apostle of Christ",Affirm Films,"Andrew Hyatt (director/screenplay); James Faulkner, Jim Caviezel, Olivier Martinez, Joanne Whalley, John Lynch",[67]
,,Final Portrait,Sony Pictures Classics,"Stanley Tucci (director/screenplay); Geoffrey Rush, Armie Hammer, Clémence Poésy, Tony Shalhoub, James Faulkner, Sylvie Testud",[68]
,,Midnight Sun,Global Road Entertainment,"Scott Speer (director); Eric Kirsten (screenplay); Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard",[69]
,,Followers,Synkronized Films,"Ryan Justice (director/screenplay); Ian Longen, Jason Henne (screenplay); Amanda Delaney, Justin Maina, Sean Michael Gloria, Nishant Gogna, David E. McMahon",[70]
,29,Ready Player One,Warner Bros. Pictures / Village Roadshow Pictures / Amblin Entertainment,"Steven Spielberg (director); Ernest Cline, Zak Penn (screenplay); Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Win Morisaki, Philip Zhao, Hannah John-Kamen",[71]
,30,Tyler Perry's Acrimony,Lionsgate / Tyler Perry Films,"Tyler Perry (director/screenplay); Taraji P. Henson, Lyriq Bent, Tika Sumpter",[72]
,,God's Not Dead: A Light in Darkness,Pure Flix,"Michael Mason (director/screenplay); David A. R. White, John Corbett, Shane Harper, Benjamin Onyango, Ted McGinley, Jennifer Taylor, Tatum O'Neal, Shwayze, Cissy Houston",[73]
,,Gemini,Neon,"Aaron Katz (director/screenplay); Lola Kirke, Zoë Kravitz, Greta Lee, Michelle Forbes, Nelson Franklin, Reeve Carney, Jessica Parker Kennedy, James Ransone, Ricki Lake, John Cho",[74]
,,The Last Movie Star,A24,"Adam Rifkin (director/screenplay); Burt Reynolds, Ariel Winter, Clark Duke, Ellar Coltrane, Chevy Chase",[75]
A,6,A Quiet Place,Paramount Pictures / Platinum Dunes / Sunday Night Productions,"John Krasinski (director/screenplay); Scott Beck, Bryan Woods (screenplay); John Krasinski, Emily Blunt, Millicent Simmonds, Noah Jupe",[76]
A,6,Blockers,Universal Pictures / Good Universe / Point Grey Pictures,"Kay Cannon (director); Eben Russell, Jon Hurwitz, Hayden Schlossberg, Brian Kehoe, Jim Kehoe (screenplay); Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton, Graham Phillips, June Diane Raphael, Hannibal Buress, Sarayu Blue",[77]
A,6,You Were Never Really Here,Amazon Studios,"Lynne Ramsay (director/screenplay); Joaquin Phoenix, Ekaterina Samsonov, Alex Manette, John Doman, Judith Roberts",[78]
A,6,Chappaquiddick,Entertainment Studios,"John Curran (director); Taylor Allen, Andrew Logan (screenplay); Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Taylor Nichols",[79]
A,6,Pandas,Warner Bros. Pictures / IMAX,"Drew Fellman, David Douglas (directors); Drew Fellman (screenplay); Kristen Bell",[80]
A,6,Lean on Pete,A24,"Andrew Haigh (director/screenplay); Charlie Plummer, Chloë Sevigny, Travis Fimmel, Steve Buscemi",[81]
A,6,The Miracle Season,LD Entertainment,"Sean McNamara (director); David Aaron Cohen, Elissa Matsueda (screenplay); Helen Hunt, William Hurt, Erin Moriarty, Danika Yarosh",[82]
A,11,Beirut,Bleecker Street,"Brad Anderson (director); Tony Gilroy (screenplay); Jon Hamm, Rosamund Pike, Dean Norris, Shea Whigham, Larry Pine, Mark Pellegrino",[36]
A,13,Rampage,Warner Bros. Pictures / New Line Cinema / Seven Bucks Productions,"Brad Peyton (director); Ryan Engle (screenplay); Dwayne Johnson, Naomie Harris, Malin Åkerman, Jake Lacy, Joe Manganiello, Jeffrey Dean Morgan",[83]
A,13,Truth or Dare,Universal Pictures / Blumhouse Productions,"Jeff Wadlow (director/screenplay); Michael Reisz, Chris Roach, Jillian Jacobs (screenplay); Lucy Hale, Tyler Posey, Violett Beane, Nolan Gerard Funk, Hayden Szeto, Sophia Taylor Ali",[84]
A,13,The Rider,Sony Pictures Classics,Chloé Zhao (director/screenplay); Brady Jandreau,[85]
A,13,Sgt. Stubby: An American Hero,Fun Academy Motion Pictures / Mikros Image,"Richard Lanni (director/screenplay); Mike Stokey (screenplay); Logan Lerman, Helena Bonham Carter, Gérard Depardieu",[86]
A,20,I Feel Pretty,STX Entertainment,"Abby Kohn, Marc Silverstein (director/screenplay); Amy Schumer, Michelle Williams, Emily Ratajkowski, Rory Scovel, Gia Crovatin",[87]
A,20,Super Troopers 2,Fox Searchlight Pictures,"Jay Chandrasekhar (director); Broken Lizard (screenplay); Jay Chandrasekhar, Paul Soter, Steve Lemme, Erik Stolhanske, Kevin Heffernan",[88]
A,20,Traffik,Summit Entertainment / Codeblack Films,"Deon Taylor (director/screenplay); Paula Patton, Omar Epps, Missi Pyle, William Fichtner, Roselyn Sanchez, Dawn Olivieri, Laz Alonso",[89]
A,20,The House of Tomorrow,Shout! Studios,"Peter Livolsi (director/screenplay); Asa Butterfield, Nick Offerman, Ellen Burstyn, Alex Wolff, Maude Apatow",[90]
A,21,Liz and the Blue Bird,Kyoto Animation,"Naoko Yamada (director); Reiko Yoshida (screenplay); Atsumi Tanezaki, Nao Tōyama",[91]
A,27,Avengers: Infinity War,Marvel Studios,"Anthony Russo and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldana, Pom Klementieff, Karen Gillan, Benedict Wong, Idris Elba, Peter Dinklage, Tom Hiddleston, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Benicio del Toro, Josh Brolin, Chris Pratt",[92]
A,27,Disobedience,Bleecker Street,"Sebastián Lelio (director/screenplay); Rebecca Lenkiewicz (screenplay); Rachel Weisz, Rachel McAdams, Alessandro Nivola",[36]
A,27,Backstabbing for Beginners,A24,"Per Fly (director); Daniel Pyne, Per Fly (screenplay); Ben Kingsley, Theo James, Jacqueline Bisset",[93]
A,27,Kings,The Orchard,"Deniz Gamze Ergüven (director/screenplay); Halle Berry, Daniel Craig",[94]
J,1,Action Point,Paramount Pictures,"Tim Kirkby (director); Johnny Knoxville (screenplay); Johnny Knoxville, Chris Pontius",[114]
J,1,Adrift,STX Entertainment,"Baltasar Kormákur (director); Aaron Kandell, Jordan Kandell, David Branson Smith (screenplay); Shailene Woodley, Sam Claflin",[115]
J,1,Upgrade,BH Tilt,"Leigh Whannell (director/screenplay); Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson, Melanie Vallejo, Benedict Hardie, Linda Cropper, Simon Maiden",[116]
J,1,American Animals,The Orchard / MoviePass Ventures,"Bart Layton (director/screenplay); Evan Peters, Barry Keoghan, Blake Jenner, Jared Abrahamson, Udo Kier, Ann Dowd",[117]
J,1,Social Animals,Vertical Entertainment,"Theresa Bennett (director/screenplay); Noël Wells, Josh Radnor, Aya Cash, Carly Chaikin, Fortune Feimster, Samira Wiley",[118]
J,8,Ocean's 8,Warner Bros. Pictures / Village Roadshow Pictures,"Gary Ross (director/screenplay); Olivia Milch (screenplay); Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Helena Bonham Carter",[119]
J,8,Won't You Be My Neighbor?,Focus Features,Morgan Neville (director); Fred Rogers,[120]
J,8,Hereditary,A24,"Ari Aster (director/screenplay); Toni Collette, Alex Wolff, Milly Shapiro, Ann Dowd, Gabriel Byrne",[121]
J,8,Hotel Artemis,Global Road Entertainment,"Drew Pearce (director/screenplay); Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum, Dave Bautista, Brian Tyree Henry, Jenny Slate, Zachary Quinto, Charlie Day",[122]
J,13,Superfly,Columbia Pictures,"Director X (director); Alex Tse (screenplay); Trevor Jackson, Jason Mitchell, Michael K. Williams, Esai Morales",[123]
J,15,Incredibles 2,Walt Disney Pictures / Pixar Animation Studios,"Brad Bird (director/screenplay); Craig T. Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Jonathan Banks",[124]
J,15,Tag,Warner Bros. Pictures / New Line Cinema,"Jeff Tomsic (director); Rob McKittrick, Mark Steilen (screenplay); Ed Helms, Jeremy Renner, Jon Hamm, Jake Johnson, Hannibal Buress, Annabelle Wallis, Isla Fisher, Rashida Jones, Leslie Bibb",[125]
J,15,On Chesil Beach,Bleecker Street,"Dominic Cooke (director); Ian McEwan (screenplay); Saoirse Ronan, Billy Howle, Emily Watson, Anne-Marie Duff, Samuel West, Adrian Scarborough",[36]
J,15,Gotti,Vertical Entertainment,"Kevin Connolly (director); Lem Dobbs, Leo Rossi (screenplay); John Travolta, Kelly Preston, Stacy Keach, Pruitt Taylor Vince, Spencer Lofranco, William DeMeo, Leo Rossi, Victor Gojcaj",[126]
J,22,Jurassic World: Fallen Kingdom,Universal Pictures / Amblin Entertainment / Legendary Pictures,"J.A. Bayona (director); Derek Connolly, Colin Trevorrow (screenplay); Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda, James Cromwell, Toby Jones, Ted Levine, B. D. Wong, Isabella Sermon, Geraldine Chaplin, Jeff Goldblum",[127]
J,22,Boundaries,Sony Pictures Classics,"Shana Feste (director/screenplay); Vera Farmiga, Christopher Plummer, Lewis MacDougall, Bobby Cannavale, Kristen Schaal",[128]
J,22,Damsel,Magnolia Pictures,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",[129]
J,28,The Domestics,Orion Classics,"Mike P. Nelson (director/screenplay); Tyler Hoechlin, Kate Bosworth, Lance Reddick, Sonoya Mizuno, Dana Gourrier, Thomas Francis Murray, David Dastmalchian",[130]
J,29,Sicario: Day of the Soldado,Columbia Pictures / Black Label Media / Thunder Road Pictures,"Stefano Sollima (director); Taylor Sheridan (screenplay); Benicio del Toro, Josh Brolin, Isabela Moner, Jeffrey Donovan, Manuel Garcia-Rulfo, Catherine Keener",[131]
J,29,Leave No Trace,Bleecker Street,"Debra Granik (director/screenplay); Anne Rosellini (screenplay); Ben Foster, Thomasin McKenzie, Jeff Kober, Dale Dickey",[132]
J,29,Uncle Drew,Summit Entertainment,"Charles Stone III (director); Jay Longino (screenplay); Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Reggie Miller, Nate Robinson, Chris Webber, Erica Ash, Lisa Leslie, Nick Kroll, Tiffany Haddish",[133]
J,29,Woman Walks Ahead,A24,"Susanna White (director); Steven Knight (screenplay); Jessica Chastain, Michael Greyeyes, Chaske Spencer, Sam Rockwell",[134]
M,4,Overboard,Metro-Goldwyn-Mayer / Lionsgate / Pantelion Films,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",[89]
M,4,Tully,Focus Features / Bron Studios,"Jason Reitman (director); Diablo Cody (screenplay); Charlize Theron, Mackenzie Davis, Mark Duplass, Ron Livingston",[95]
M,4,Bad Samaritan,Electric Entertainment,"Dean Devlin (director); Brandon Boyce (screenplay); David Tennant, Robert Sheehan, Carlito Olivero, Kerry Condon, Jacqueline Byers",[96]
M,4,The Cleanse,Vertical Entertainment,"Bobby Miller (director/screenplay); Johnny Galecki, Anna Friel, Oliver Platt, Anjelica Huston",[97]
M,4,The Guardians,Music Box Films,Xavier Beauvois (director/screenplay); Nathalie Baye,[98]
M,11,Life of the Party,Warner Bros. Pictures / New Line Cinema,"Ben Falcone (director/screenplay); Melissa McCarthy (screenplay); Melissa McCarthy, Maya Rudolph, Molly Gordon, Julie Bowen, Gillian Jacobs, Debby Ryan, Matt Walsh, Jacki Weaver",[99]
M,11,Breaking In,Universal Pictures,"James McTeigue (director); Ryan Engle (screenplay); Gabrielle Union, Billy Burke, Richard Cabral, Seth Carr, Levi Meaden, Ajiona Alexus, Christa Miller",[100]
M,11,The Seagull,Sony Pictures Classics,"Michael Mayer (director); Stephen Karam (screenplay); Saoirse Ronan, Annette Bening, Corey Stoll, Billy Howle",[101]
M,11,Terminal,RLJE Films,"Vaughn Stein (director/screenplay); Margot Robbie, Simon Pegg, Dexter Fletcher, Max Irons, Mike Myers",[102]
M,11,Revenge,Neon,"Coralie Fargeat (director/screenplay); Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",[103]
M,18,Deadpool 2,20th Century Fox / Marvel Entertainment / TSG Entertainment,"David Leitch (director); Rhett Reese, Paul Wernick, Ryan Reynolds (screenplay); Ryan Reynolds, Josh Brolin, Zazie Beetz, Julian Dennison, Morena Baccarin, T. J. Miller, Brianna Hildebrand, Stefan Kapičić, Jack Kesy",[104]
M,18,Book Club,Paramount Pictures,"Bill Holderman (director/screenplay); Erin Simms (screenplay); Jane Fonda, Candice Bergen, Mary Steenburgen, Diane Keaton",[105]
M,18,First Reformed,A24,"Paul Schrader (director/screenplay); Ethan Hawke, Amanda Seyfried, Cedric Kyles",[106]
M,18,Pope Francis: A Man of His Word,Focus Features,Wim Wenders (director); Pope Francis,[107]
